Album;Track;MainArtist;FeaturingArtists;Singer;Line;Number
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;Nicki Minaj;"""Yo, he ain't messing with no average chick, pop, pop
He got Nicki, he know that he hit the jackpot
Every baller tryna score, check them shot clocks
But I hit 'em with them 'Bron-Iguodala blocks
Eat the cake and he suck on my toes, yes
Hitting them home runs, I'll be like ""Go Mets!""
I want a dude that'll still kiss me when he mad
Type to cop me diamonds, he can miss me with them bags""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;August Alsina;"""Girl we been right here, thinkin' 'bout it all night""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;Chris Brown;"""Baby you should be up in my bed
Do you mind, do you mind?
Baby you, do you mind? Do you mind? Do you mind?""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;DJ Khaled;"""DJ Khaled!""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;Chris Brown;"""I'm just tryna get to know ya
Get a little closer, maybe post up
Do you mind? Do you mind? Do you mind?
Do you mind? Do you mind? Do you mind?""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;August Alsina;"""Girl we been right here, thinkin' 'bout it all night""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;Chris Brown;"""Baby you should be up in my bed
Do you mind, do you mind?
Baby you, do you mind? Do you mind? Do you mind?""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;Chris Brown;"""You know, you know, you know, you know
He ain't got forever and ever
You know, you know, you know, you know
Let me be the one, baby you deserve better
You know, you know, you know, you know
We ain't got forever and ever
You know, you know, you know, you know
Let me be the one, baby do you mind? Do you mind?""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;August Alsina;"""Oh, do you mind if I talk to you?
And do you mind if I touch you there?
Girl, you know you can't do no better, baby
I know that it don't get no better than me
Let's not waste the time
You ain't gotta hold back cause I get inside
You won't change your mind, you know that you can take it
No need to hesitate, I need it, impatient
I'm not used to waiting, I want you to give it to me
Come on let me taste it until I get enough
Hope you're ready cause I'ma beat it up
Do you mind when I'mma have it? Know how to heat it up""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;Jeremih;"""I should, I should be the one, baby, you gon' learn that
Girl, I know your body, know where every curve at
We been going all night, 'til the early
Know you, know you wanna take off when you on my runway
We ain't gotta talk 'bout his conversation
Baby, by the way I touch you you know what I'm saying
Oh, oh, oh, ride it slow
Oh, oh, oh""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;Chris Brown;"""I'm just tryna get to know ya
Get a little closer, maybe post up
Do you mind? Do you mind? Do you mind?
Do you mind? Do you mind? Do you mind?""";7
Major Keys;Do You Mind;DJ Khaled; Rick Ross, Future, August Alsina, Jeremih, Chris Brown & Nicki Minaj;August Alsina;"""Girl we been right here, thinkin' 'bout it all night""";7
